index,chunk_index,file_offset,payload_offset,payload_size,opcode,opcode_name,version
0,0,30,34,6,0x0A,init_video_mode,0
1,0,40,44,8,0x05,init_video_buffers,2
2,0,52,56,766,0x0C,set_palette,0
3,0,822,826,4,0x15,documented_unknown_15,0
4,0,830,834,0,0x01,end_of_chunk,0
5,1,838,842,10,0x03,init_audio_buffers,1
6,1,852,856,0,0x01,end_of_chunk,0
7,2,860,864,2932,0x08,audio_frame,0
8,2,3796,3800,6,0x09,silence_frame,0
9,2,3806,3810,0,0x01,end_of_chunk,0
10,3,3814,3818,2952,0x08,audio_frame,0
11,3,6770,6774,6,0x09,silence_frame,0
12,3,6780,6784,0,0x01,end_of_chunk,0
13,4,6788,6792,2952,0x08,audio_frame,0
14,4,9744,9748,6,0x09,silence_frame,0
15,4,9754,9758,0,0x01,end_of_chunk,0
16,5,9762,9766,2952,0x08,audio_frame,0
17,5,12718,12722,6,0x09,silence_frame,0
18,5,12728,12732,0,0x01,end_of_chunk,0
19,6,12736,12740,2952,0x08,audio_frame,0
20,6,15692,15696,6,0x09,silence_frame,0
21,6,15702,15706,0,0x01,end_of_chunk,0
22,7,15710,15714,2952,0x08,audio_frame,0
23,7,18666,18670,6,0x09,silence_frame,0
24,7,18676,18680,0,0x01,end_of_chunk,0
25,8,18684,18688,2952,0x08,audio_frame,0
26,8,21640,21644,6,0x09,silence_frame,0
27,8,21650,21654,0,0x01,end_of_chunk,0
28,9,21658,21662,2952,0x08,audio_frame,0
29,9,24614,24618,6,0x09,silence_frame,0
30,9,24624,24628,0,0x01,end_of_chunk,0
31,10,24632,24636,2952,0x08,audio_frame,0
32,10,27588,27592,6,0x09,silence_frame,0
33,10,27598,27602,0,0x01,end_of_chunk,0
34,11,27606,27610,2952,0x08,audio_frame,0
35,11,30562,30566,6,0x09,silence_frame,0
36,11,30572,30576,0,0x01,end_of_chunk,0
37,12,30580,30584,2952,0x08,audio_frame,0
38,12,33536,33540,6,0x09,silence_frame,0
39,12,33546,33550,0,0x01,end_of_chunk,0
40,13,33554,33558,2952,0x08,audio_frame,0
41,13,36510,36514,6,0x09,silence_frame,0
42,13,36520,36524,0,0x01,end_of_chunk,0
43,14,36528,36532,2952,0x08,audio_frame,0
44,14,39484,39488,6,0x09,silence_frame,0
45,14,39494,39498,0,0x01,end_of_chunk,0
46,15,39502,39506,2952,0x08,audio_frame,0
47,15,42458,42462,6,0x09,silence_frame,0
48,15,42468,42472,0,0x01,end_of_chunk,0
49,16,42476,42480,6,0x02,create_timer,0
50,16,42486,42490,1080,0x0F,set_decoding_map,0
51,16,43570,43574,2952,0x08,audio_frame,0
52,16,46526,46530,6,0x09,silence_frame,0
53,16,46536,46540,44412,0x11,video_data_11,3
54,16,90952,90956,132,0x13,documented_unknown_13,0
55,16,91088,91092,0,0x04,start_stop_audio,0
56,16,91092,91096,6,0x07,send_buffer,1
57,16,91102,91106,0,0x01,end_of_chunk,0
58,17,91110,91114,1080,0x0F,set_decoding_map,0
59,17,92194,92198,2932,0x08,audio_frame,0
60,17,95130,95134,6,0x09,silence_frame,0
61,17,95140,95144,14028,0x11,video_data_11,3
62,17,109172,109176,132,0x13,documented_unknown_13,0
63,17,109308,109312,0,0x04,start_stop_audio,0
64,17,109312,109316,6,0x07,send_buffer,1
65,17,109322,109326,0,0x01,end_of_chunk,0
66,18,109330,109334,1080,0x0F,set_decoding_map,0
67,18,110414,110418,2952,0x08,audio_frame,0
68,18,113370,113374,6,0x09,silence_frame,0
69,18,113380,113384,14036,0x11,video_data_11,3
70,18,127420,127424,132,0x13,documented_unknown_13,0
71,18,127556,127560,0,0x04,start_stop_audio,0
72,18,127560,127564,6,0x07,send_buffer,1
73,18,127570,127574,0,0x01,end_of_chunk,0
74,19,127578,127582,1080,0x0F,set_decoding_map,0
75,19,128662,128666,2952,0x08,audio_frame,0
76,19,131618,131622,6,0x09,silence_frame,0
77,19,131628,131632,14070,0x11,video_data_11,3
78,19,145702,145706,132,0x13,documented_unknown_13,0
79,19,145838,145842,0,0x04,start_stop_audio,0
80,19,145842,145846,6,0x07,send_buffer,1
81,19,145852,145856,0,0x01,end_of_chunk,0
82,20,145860,145864,1080,0x0F,set_decoding_map,0
83,20,146944,146948,2952,0x08,audio_frame,0
84,20,149900,149904,6,0x09,silence_frame,0
85,20,149910,149914,14028,0x11,video_data_11,3
86,20,163942,163946,132,0x13,documented_unknown_13,0
87,20,164078,164082,0,0x04,start_stop_audio,0
88,20,164082,164086,6,0x07,send_buffer,1
89,20,164092,164096,0,0x01,end_of_chunk,0
90,21,164100,164104,1080,0x0F,set_decoding_map,0
91,21,165184,165188,2952,0x08,audio_frame,0
92,21,168140,168144,6,0x09,silence_frame,0
93,21,168150,168154,14046,0x11,video_data_11,3
94,21,182200,182204,132,0x13,documented_unknown_13,0
95,21,182336,182340,0,0x04,start_stop_audio,0
96,21,182340,182344,6,0x07,send_buffer,1
97,21,182350,182354,0,0x01,end_of_chunk,0
98,22,182358,182362,1080,0x0F,set_decoding_map,0
99,22,183442,183446,2952,0x08,audio_frame,0
100,22,186398,186402,6,0x09,silence_frame,0
101,22,186408,186412,14030,0x11,video_data_11,3
102,22,200442,200446,132,0x13,documented_unknown_13,0
103,22,200578,200582,0,0x04,start_stop_audio,0
104,22,200582,200586,6,0x07,send_buffer,1
105,22,200592,200596,0,0x01,end_of_chunk,0
106,23,200600,200604,1080,0x0F,set_decoding_map,0
107,23,201684,201688,2952,0x08,audio_frame,0
108,23,204640,204644,6,0x09,silence_frame,0
109,23,204650,204654,14050,0x11,video_data_11,3
110,23,218704,218708,132,0x13,documented_unknown_13,0
111,23,218840,218844,0,0x04,start_stop_audio,0
112,23,218844,218848,6,0x07,send_buffer,1
113,23,218854,218858,0,0x01,end_of_chunk,0
114,24,218862,218866,1080,0x0F,set_decoding_map,0
115,24,219946,219950,2952,0x08,audio_frame,0
116,24,222902,222906,6,0x09,silence_frame,0
117,24,222912,222916,14034,0x11,video_data_11,3
118,24,236950,236954,132,0x13,documented_unknown_13,0
119,24,237086,237090,0,0x04,start_stop_audio,0
120,24,237090,237094,6,0x07,send_buffer,1
121,24,237100,237104,0,0x01,end_of_chunk,0
122,25,237108,237112,1080,0x0F,set_decoding_map,0
123,25,238192,238196,2952,0x08,audio_frame,0
124,25,241148,241152,6,0x09,silence_frame,0
125,25,241158,241162,14052,0x11,video_data_11,3
126,25,255214,255218,132,0x13,documented_unknown_13,0
127,25,255350,255354,0,0x04,start_stop_audio,0
128,25,255354,255358,6,0x07,send_buffer,1
129,25,255364,255368,0,0x01,end_of_chunk,0
130,26,255372,255376,1080,0x0F,set_decoding_map,0
131,26,256456,256460,2952,0x08,audio_frame,0
132,26,259412,259416,6,0x09,silence_frame,0
133,26,259422,259426,14042,0x11,video_data_11,3
134,26,273468,273472,132,0x13,documented_unknown_13,0
135,26,273604,273608,0,0x04,start_stop_audio,0
136,26,273608,273612,6,0x07,send_buffer,1
137,26,273618,273622,0,0x01,end_of_chunk,0
138,27,273626,273630,1080,0x0F,set_decoding_map,0
139,27,274710,274714,2952,0x08,audio_frame,0
140,27,277666,277670,6,0x09,silence_frame,0
141,27,277676,277680,14044,0x11,video_data_11,3
142,27,291724,291728,132,0x13,documented_unknown_13,0
143,27,291860,291864,0,0x04,start_stop_audio,0
144,27,291864,291868,6,0x07,send_buffer,1
145,27,291874,291878,0,0x01,end_of_chunk,0
146,28,291882,291886,1080,0x0F,set_decoding_map,0
147,28,292966,292970,2952,0x08,audio_frame,0
148,28,295922,295926,6,0x09,silence_frame,0
149,28,295932,295936,14050,0x11,video_data_11,3
150,28,309986,309990,132,0x13,documented_unknown_13,0
151,28,310122,310126,0,0x04,start_stop_audio,0
152,28,310126,310130,6,0x07,send_buffer,1
153,28,310136,310140,0,0x01,end_of_chunk,0
154,29,310144,310148,1080,0x0F,set_decoding_map,0
155,29,311228,311232,2952,0x08,audio_frame,0
156,29,314184,314188,6,0x09,silence_frame,0
157,29,314194,314198,14030,0x11,video_data_11,3
158,29,328228,328232,132,0x13,documented_unknown_13,0
159,29,328364,328368,0,0x04,start_stop_audio,0
160,29,328368,328372,6,0x07,send_buffer,1
161,29,328378,328382,0,0x01,end_of_chunk,0
162,30,328386,328390,1080,0x0F,set_decoding_map,0
163,30,329470,329474,2952,0x08,audio_frame,0
164,30,332426,332430,6,0x09,silence_frame,0
165,30,332436,332440,14056,0x11,video_data_11,3
166,30,346496,346500,132,0x13,documented_unknown_13,0
167,30,346632,346636,0,0x04,start_stop_audio,0
168,30,346636,346640,6,0x07,send_buffer,1
169,30,346646,346650,0,0x01,end_of_chunk,0
170,31,346654,346658,1080,0x0F,set_decoding_map,0
171,31,347738,347742,2952,0x08,audio_frame,0
172,31,350694,350698,6,0x09,silence_frame,0
173,31,350704,350708,14070,0x11,video_data_11,3
