normalized_path,candidate_count,content_identical,suggested_effective_source,decision_basis,candidates_json
art/intrface/about.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/ABOUT.FRM"",""resource_id"":""sha256:e49b319e3c97e52d30feb252f2b9624e82fba5d4cae16d6e0c59c80ae3ff6f67"",""sha256"":null,""size"":121034,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/ABOUT.FRM"",""resource_id"":""sha256:4178c188283c56f0e0c27707f78df541d25ce5b9b778d45592c68bfcdf797af6"",""sha256"":null,""size"":121034,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/autodwn.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/AUTODWN.FRM"",""resource_id"":""sha256:a373cc73f3b4bee8fde99b9af10b93b107a78dbedbb2f225b64e437f3a99d845"",""sha256"":null,""size"":3182,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/AUTODWN.FRM"",""resource_id"":""sha256:de955f7634b3d0817aeae2f2232c7b9d56f7941703003c7a0c519d6c177b3b08"",""sha256"":null,""size"":3182,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/automap.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/AUTOMAP.FRM"",""resource_id"":""sha256:7b258acf17d007a839956c03bea84a2c99504642b063f0c844ebe04095f59b49"",""sha256"":null,""size"":249194,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/AUTOMAP.FRM"",""resource_id"":""sha256:2ca711b228faa50f85b433640bd57d98d5d7f280440bcc00d657515dd0a3dd89"",""sha256"":null,""size"":249194,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/autoup.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/AUTOUP.FRM"",""resource_id"":""sha256:e05b38cd02c1c618d7f6dc29257f302d7b5b638da233629e825c9a8b4360dd36"",""sha256"":null,""size"":3182,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/AUTOUP.FRM"",""resource_id"":""sha256:7cd00fd0a34dc32ab018745fb2e5060a3d78cba44221ab4bb78455b0aefd22a7"",""sha256"":null,""size"":3182,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/barter.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/BARTER.FRM"",""resource_id"":""sha256:6d93ec1f1b77cdb58c5f9f0cef2291be92bb87f6877c48623a6d19ef21506409"",""sha256"":null,""size"":122314,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/BARTER.FRM"",""resource_id"":""sha256:fd4fbb3db296efc72b03d8f9750f7f6e850205adbc55685c88f68553a572a97b"",""sha256"":null,""size"":122314,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/burst.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/BURST.FRM"",""resource_id"":""sha256:f39b3f35e4c03af4a5ea8b75c3cd1ccb9e245269e53a09d1c5d797adbc3a5a57"",""sha256"":null,""size"":613,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/BURST.FRM"",""resource_id"":""sha256:ad578609a645af59f68423676e752b602bee6f425c8b30e12b88382a6ba1f0a1"",""sha256"":null,""size"":644,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/called.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/CALLED.FRM"",""resource_id"":""sha256:b23b31b5de721c7e1175a552338586424d5456618fe3592e1930c364155087b0"",""sha256"":null,""size"":131090,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/CALLED.FRM"",""resource_id"":""sha256:d43c17e184c9a81921a6f23037cc9eb24ae4c6bd6cf481ffb15b135b51e90022"",""sha256"":null,""size"":131090,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/di_done1.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/DI_DONE1.FRM"",""resource_id"":""sha256:ca60c05c20d4ac3aa39468523772e9077ee979d648050e64eec53f6c8ae2cd94"",""sha256"":null,""size"":3846,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/DI_DONE1.FRM"",""resource_id"":""sha256:5cad379a0667571397c3bbcc57941669048f7173c1ebdc8eae5799dd9b587c1f"",""sha256"":null,""size"":3846,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/di_done2.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/DI_DONE2.FRM"",""resource_id"":""sha256:34be6f63a68ea59b91ef8978121030a75f1072a19d44d9a39cedc7161153e31d"",""sha256"":null,""size"":3846,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/DI_DONE2.FRM"",""resource_id"":""sha256:1dd1e29b9506e5aceddf6a7dff2113d848ba33ad14534de54e3f68f5ef99fdbc"",""sha256"":null,""size"":3846,""source_kind"":""loose"",""source_name"":""DATA""}]"
art/intrface/di_talk.frm,2,,,manual_review_required,"[{""internal_path"":""ART/INTRFACE/DI_TALK.FRM"",""resource_id"":""sha256:416fcddb053a4fcc7264f96b2cff51db470d5fd9e7f58019375286bc170a9ae3"",""sha256"":null,""size"":121674,""source_kind"":""dat1"",""source_name"":""MASTER.DAT""},{""internal_path"":""art/intrface/DI_TALK.FRM"",""resource_id"":""sha256:a9e6ff01359363b2097d12003b97c52394c53206c5f6afed21864a4b1ec9614f"",""sha256"":null,""size"":121674,""source_kind"":""loose"",""source_name"":""DATA""}]"
