source_kind,source_name,internal_path,type,size,stored_size,offset,compression_mode,compression,sha256,path_is_safe,path_issues
dat1,MASTER.DAT,COLOR.PAL,palette,33536,9292,211060669,0x40,lzss,,True,
dat1,MASTER.DAT,FONT0.AAF,other,6337,2316,211203770,0x40,lzss,,True,
dat1,MASTER.DAT,FONT0.FON,other,3044,1459,211206086,0x40,lzss,,True,
dat1,MASTER.DAT,FONT1.AAF,other,12844,3102,211207545,0x40,lzss,,True,
dat1,MASTER.DAT,FONT1.FON,other,2044,1014,211210647,0x40,lzss,,True,
dat1,MASTER.DAT,FONT2.AAF,other,25395,6849,211211661,0x40,lzss,,True,
dat1,MASTER.DAT,FONT2.FON,other,2122,963,211218510,0x40,lzss,,True,
dat1,MASTER.DAT,FONT3.AAF,other,13399,4517,211219473,0x40,lzss,,True,
dat1,MASTER.DAT,FONT3.FON,other,2354,1340,211223990,0x40,lzss,,True,
dat1,MASTER.DAT,FONT4.AAF,other,22129,8563,211225330,0x40,lzss,,True,
dat1,MASTER.DAT,FONT5.FON,other,2044,1014,211233893,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/BACK1.FRM,image,22044,10070,556484,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/BACKGRND.LST,index,166,121,566554,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/BHOOD.FRM,image,77674,40008,566675,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/CATH.FRM,image,77674,26820,606683,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/FOLLOW.FRM,image,77674,36471,633503,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/HUB.FRM,image,77674,31406,669974,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/JUNKTOWN.FRM,image,77674,49698,701380,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/MASTER.FRM,image,77674,43869,751078,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/MILITARY.FRM,image,77674,41872,794947,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/NECRO.FRM,image,77674,29564,836819,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/RAIDER.FRM,image,77674,34899,866383,0x40,lzss,,True,
dat1,MASTER.DAT,ART/BACKGRND/RESERVED.FRM,image,6534,1977,901282,0x40,lzss,,True,
