index,english_name,chinese_label,chinese_map_description,grid_column,grid_row,pixel_x,pixel_y,discovery_global_variable
0,Vault 13,13号避难所,13号避难所,16,1,825,75,67
1,Vault 15,15号避难所,15号避难所,25,1,1275,75,70
2,Shady Sands,沙荫镇,沙荫镇,21,1,1075,75,68
3,Junktown,迦克镇,迦克镇,17,10,875,525,71
4,Raiders,歹徒,歹徒营地,22,3,1125,175,69
5,Necropolis,大墓地,大墓地,22,13,1125,675,72
6,The Hub,哈勃城,哈勃城,17,14,875,725,73
7,Brotherhood,钢铁兄弟会,钢铁兄弟会,12,9,625,475,74
8,Military Base,军事基地,军事基地,3,1,175,75,78
9,The Glow,闪光之地,闪光之地,24,25,1225,1275,76
10,Boneyard,晒骨场,晒骨场,15,18,775,925,75
11,Cathedral,大教堂,大教堂,15,20,775,1025,77
