index,chunk_index,file_offset,payload_offset,payload_size,opcode,opcode_name,version
0,0,30,34,6,0x0A,init_video_mode,0
1,0,40,44,8,0x05,init_video_buffers,2
2,0,52,56,766,0x0C,set_palette,0
3,0,822,826,4,0x15,documented_unknown_15,0
4,0,830,834,0,0x01,end_of_chunk,0
5,1,838,842,10,0x03,init_audio_buffers,1
6,1,852,856,0,0x01,end_of_chunk,0
7,2,860,864,2932,0x08,audio_frame,0
8,2,3796,3800,6,0x09,silence_frame,0
9,2,3806,3810,0,0x01,end_of_chunk,0
10,3,3814,3818,2952,0x08,audio_frame,0
11,3,6770,6774,6,0x09,silence_frame,0
12,3,6780,6784,0,0x01,end_of_chunk,0
13,4,6788,6792,2952,0x08,audio_frame,0
14,4,9744,9748,6,0x09,silence_frame,0
15,4,9754,9758,0,0x01,end_of_chunk,0
16,5,9762,9766,2952,0x08,audio_frame,0
17,5,12718,12722,6,0x09,silence_frame,0
18,5,12728,12732,0,0x01,end_of_chunk,0
19,6,12736,12740,2952,0x08,audio_frame,0
20,6,15692,15696,6,0x09,silence_frame,0
21,6,15702,15706,0,0x01,end_of_chunk,0
22,7,15710,15714,2952,0x08,audio_frame,0
23,7,18666,18670,6,0x09,silence_frame,0
24,7,18676,18680,0,0x01,end_of_chunk,0
25,8,18684,18688,2952,0x08,audio_frame,0
26,8,21640,21644,6,0x09,silence_frame,0
27,8,21650,21654,0,0x01,end_of_chunk,0
28,9,21658,21662,2952,0x08,audio_frame,0
29,9,24614,24618,6,0x09,silence_frame,0
30,9,24624,24628,0,0x01,end_of_chunk,0
31,10,24632,24636,2952,0x08,audio_frame,0
32,10,27588,27592,6,0x09,silence_frame,0
33,10,27598,27602,0,0x01,end_of_chunk,0
34,11,27606,27610,2952,0x08,audio_frame,0
35,11,30562,30566,6,0x09,silence_frame,0
36,11,30572,30576,0,0x01,end_of_chunk,0
37,12,30580,30584,2952,0x08,audio_frame,0
38,12,33536,33540,6,0x09,silence_frame,0
39,12,33546,33550,0,0x01,end_of_chunk,0
40,13,33554,33558,2952,0x08,audio_frame,0
41,13,36510,36514,6,0x09,silence_frame,0
42,13,36520,36524,0,0x01,end_of_chunk,0
43,14,36528,36532,2952,0x08,audio_frame,0
44,14,39484,39488,6,0x09,silence_frame,0
45,14,39494,39498,0,0x01,end_of_chunk,0
46,15,39502,39506,2952,0x08,audio_frame,0
47,15,42458,42462,6,0x09,silence_frame,0
48,15,42468,42472,0,0x01,end_of_chunk,0
49,16,42476,42480,6,0x02,create_timer,0
50,16,42486,42490,1080,0x0F,set_decoding_map,0
51,16,43570,43574,2952,0x08,audio_frame,0
52,16,46526,46530,6,0x09,silence_frame,0
53,16,46536,46540,44440,0x11,video_data_11,3
54,16,90980,90984,132,0x13,documented_unknown_13,0
55,16,91116,91120,0,0x04,start_stop_audio,0
56,16,91120,91124,6,0x07,send_buffer,1
57,16,91130,91134,0,0x01,end_of_chunk,0
58,17,91138,91142,1080,0x0F,set_decoding_map,0
59,17,92222,92226,2932,0x08,audio_frame,0
60,17,95158,95162,6,0x09,silence_frame,0
61,17,95168,95172,14022,0x11,video_data_11,3
62,17,109194,109198,132,0x13,documented_unknown_13,0
63,17,109330,109334,0,0x04,start_stop_audio,0
64,17,109334,109338,6,0x07,send_buffer,1
65,17,109344,109348,0,0x01,end_of_chunk,0
66,18,109352,109356,1080,0x0F,set_decoding_map,0
67,18,110436,110440,2952,0x08,audio_frame,0
68,18,113392,113396,6,0x09,silence_frame,0
69,18,113402,113406,14030,0x11,video_data_11,3
70,18,127436,127440,132,0x13,documented_unknown_13,0
71,18,127572,127576,0,0x04,start_stop_audio,0
72,18,127576,127580,6,0x07,send_buffer,1
73,18,127586,127590,0,0x01,end_of_chunk,0
74,19,127594,127598,1080,0x0F,set_decoding_map,0
75,19,128678,128682,2952,0x08,audio_frame,0
76,19,131634,131638,6,0x09,silence_frame,0
77,19,131644,131648,14026,0x11,video_data_11,3
78,19,145674,145678,132,0x13,documented_unknown_13,0
79,19,145810,145814,0,0x04,start_stop_audio,0
80,19,145814,145818,6,0x07,send_buffer,1
81,19,145824,145828,0,0x01,end_of_chunk,0
82,20,145832,145836,1080,0x0F,set_decoding_map,0
83,20,146916,146920,2952,0x08,audio_frame,0
84,20,149872,149876,6,0x09,silence_frame,0
85,20,149882,149886,14026,0x11,video_data_11,3
86,20,163912,163916,132,0x13,documented_unknown_13,0
87,20,164048,164052,0,0x04,start_stop_audio,0
88,20,164052,164056,6,0x07,send_buffer,1
89,20,164062,164066,0,0x01,end_of_chunk,0
90,21,164070,164074,1080,0x0F,set_decoding_map,0
91,21,165154,165158,2952,0x08,audio_frame,0
92,21,168110,168114,6,0x09,silence_frame,0
93,21,168120,168124,14024,0x11,video_data_11,3
94,21,182148,182152,132,0x13,documented_unknown_13,0
95,21,182284,182288,0,0x04,start_stop_audio,0
96,21,182288,182292,6,0x07,send_buffer,1
97,21,182298,182302,0,0x01,end_of_chunk,0
98,22,182306,182310,1080,0x0F,set_decoding_map,0
99,22,183390,183394,2952,0x08,audio_frame,0
100,22,186346,186350,6,0x09,silence_frame,0
101,22,186356,186360,14028,0x11,video_data_11,3
102,22,200388,200392,132,0x13,documented_unknown_13,0
103,22,200524,200528,0,0x04,start_stop_audio,0
104,22,200528,200532,6,0x07,send_buffer,1
105,22,200538,200542,0,0x01,end_of_chunk,0
106,23,200546,200550,1080,0x0F,set_decoding_map,0
107,23,201630,201634,2952,0x08,audio_frame,0
108,23,204586,204590,6,0x09,silence_frame,0
109,23,204596,204600,14050,0x11,video_data_11,3
110,23,218650,218654,132,0x13,documented_unknown_13,0
111,23,218786,218790,0,0x04,start_stop_audio,0
112,23,218790,218794,6,0x07,send_buffer,1
113,23,218800,218804,0,0x01,end_of_chunk,0
114,24,218808,218812,1080,0x0F,set_decoding_map,0
115,24,219892,219896,2952,0x08,audio_frame,0
116,24,222848,222852,6,0x09,silence_frame,0
117,24,222858,222862,14022,0x11,video_data_11,3
118,24,236884,236888,132,0x13,documented_unknown_13,0
119,24,237020,237024,0,0x04,start_stop_audio,0
120,24,237024,237028,6,0x07,send_buffer,1
121,24,237034,237038,0,0x01,end_of_chunk,0
122,25,237042,237046,1080,0x0F,set_decoding_map,0
123,25,238126,238130,2952,0x08,audio_frame,0
124,25,241082,241086,6,0x09,silence_frame,0
125,25,241092,241096,14028,0x11,video_data_11,3
126,25,255124,255128,132,0x13,documented_unknown_13,0
127,25,255260,255264,0,0x04,start_stop_audio,0
128,25,255264,255268,6,0x07,send_buffer,1
129,25,255274,255278,0,0x01,end_of_chunk,0
130,26,255282,255286,1080,0x0F,set_decoding_map,0
131,26,256366,256370,2952,0x08,audio_frame,0
132,26,259322,259326,6,0x09,silence_frame,0
133,26,259332,259336,14030,0x11,video_data_11,3
134,26,273366,273370,132,0x13,documented_unknown_13,0
135,26,273502,273506,0,0x04,start_stop_audio,0
136,26,273506,273510,6,0x07,send_buffer,1
137,26,273516,273520,0,0x01,end_of_chunk,0
138,27,273524,273528,1080,0x0F,set_decoding_map,0
139,27,274608,274612,2952,0x08,audio_frame,0
140,27,277564,277568,6,0x09,silence_frame,0
141,27,277574,277578,14022,0x11,video_data_11,3
142,27,291600,291604,132,0x13,documented_unknown_13,0
143,27,291736,291740,0,0x04,start_stop_audio,0
144,27,291740,291744,6,0x07,send_buffer,1
145,27,291750,291754,0,0x01,end_of_chunk,0
146,28,291758,291762,1080,0x0F,set_decoding_map,0
147,28,292842,292846,2952,0x08,audio_frame,0
148,28,295798,295802,6,0x09,silence_frame,0
149,28,295808,295812,14062,0x11,video_data_11,3
150,28,309874,309878,132,0x13,documented_unknown_13,0
151,28,310010,310014,0,0x04,start_stop_audio,0
152,28,310014,310018,6,0x07,send_buffer,1
153,28,310024,310028,0,0x01,end_of_chunk,0
154,29,310032,310036,1080,0x0F,set_decoding_map,0
155,29,311116,311120,2952,0x08,audio_frame,0
156,29,314072,314076,6,0x09,silence_frame,0
157,29,314082,314086,14038,0x11,video_data_11,3
158,29,328124,328128,132,0x13,documented_unknown_13,0
159,29,328260,328264,0,0x04,start_stop_audio,0
160,29,328264,328268,6,0x07,send_buffer,1
161,29,328274,328278,0,0x01,end_of_chunk,0
162,30,328282,328286,1080,0x0F,set_decoding_map,0
163,30,329366,329370,2952,0x08,audio_frame,0
164,30,332322,332326,6,0x09,silence_frame,0
165,30,332332,332336,14052,0x11,video_data_11,3
166,30,346388,346392,132,0x13,documented_unknown_13,0
167,30,346524,346528,0,0x04,start_stop_audio,0
168,30,346528,346532,6,0x07,send_buffer,1
169,30,346538,346542,0,0x01,end_of_chunk,0
170,31,346546,346550,1080,0x0F,set_decoding_map,0
171,31,347630,347634,2952,0x08,audio_frame,0
172,31,350586,350590,6,0x09,silence_frame,0
173,31,350596,350600,14064,0x11,video_data_11,3
