type,id,source,script,object_expr
0,0,data,LARS,dude_obj
0,0,master,AGATHA,dude_obj
0,0,master,BVLIB,dude_obj
0,0,master,BVLIVE,dude_obj
0,0,master,COMMAND,dude_obj
0,0,master,IAN,dude_obj
0,0,master,IZO,dude_obj
0,0,master,LARS,dude_obj
0,0,master,MRHANDYC,dude_obj
0,0,master,RADIOCOM,dude_obj
0,0,master,RNDDERT,dude_obj
0,0,master,RNDDESRT,dude_obj
0,0,master,SAUL,dude_obj
0,0,master,TALIUS,dude_obj
0,0,master,VATALERT,dude_obj
0,0,master,VBOOM,dude_obj
0,0,master,VLASER,dude_obj
0,0,master,VPLASMA,dude_obj
0,0,master,WTRTHIEF,dude_obj
0,10,data,BITSBOB,dude_obj
0,10,data,GABRIEL,dude_obj
0,10,data,GIZMO,dude_obj
0,10,data,HARRY,dude_obj
0,10,data,KILLIAN,dude_obj
0,10,data,LARS,dude_obj
0,10,data,MORPH,dude_obj
0,10,data,MSTMERCH,dude_obj
0,10,data,RAZOR,dude_obj
0,10,data,SLAPPY,dude_obj
0,10,data,TANDI,dude_obj
0,10,data,inblade,dude_obj
0,10,master,ABEL,dude_obj
0,10,master,ADYTOWNR,dude_obj
0,10,master,AGATHA,dude_obj
0,10,master,AIRGRD,dude_obj
0,10,master,ALLNONE,dude_obj
0,10,master,ALYA,dude_obj
0,10,master,ANIMFR~1,dude_obj
0,10,master,ARADESH,dude_obj
0,10,master,ARMSDEAL,dude_obj
0,10,master,ASSBLOW,dude_obj
0,10,master,AVERY,dude_obj
0,10,master,BARRACUS,dude_obj
0,10,master,BARTERGU,dude_obj
0,10,master,BARTERGY,dude_obj
0,10,master,BARTER~1,dude_obj
0,10,master,BILLY,dude_obj
0,10,master,BITSBOB,dude_obj
0,10,master,BLADE,dude_obj
0,10,master,BOSLORI,dude_obj
0,10,master,BUTCH,dude_obj
0,10,master,BYCHRIS,dude_obj
0,10,master,BYGREG,dude_obj
0,10,master,BYMIKE,dude_obj
0,10,master,CABBOT,dude_obj
0,10,master,CALDER,dude_obj
0,10,master,CALEB,dude_obj
0,10,master,CARVLEAD,dude_obj
0,10,master,CATHSHOP,dude_obj
0,10,master,CCGUARD,dude_obj
0,10,master,CCGUARD1,dude_obj
0,10,master,CCGUARD2,dude_obj
0,10,master,CCVAN,dude_obj
0,10,master,CHEATER,dude_obj
0,10,master,CHILDMEM,dude_obj
0,10,master,CHOCTECH,dude_obj
0,10,master,CHUCK,dude_obj
0,10,master,CINDY,dude_obj
0,10,master,CITIZEN,dude_obj
0,10,master,CLEO,dude_obj
0,10,master,DAN,dude_obj
0,10,master,DANE,dude_obj
0,10,master,DANWIFE,dude_obj
0,10,master,DARREL,dude_obj
0,10,master,DCMUTANT,dude_obj
0,10,master,DEADGUY,dude_obj
0,10,master,DECKER,dude_obj
0,10,master,DECKGARD,dude_obj
0,10,master,DECKGRD,dude_obj
0,10,master,DEMETRE,dude_obj
0,10,master,DEMOPHIL,dude_obj
0,10,master,DIANA,dude_obj
0,10,master,DOCWU,dude_obj
0,10,master,DUC,dude_obj
0,10,master,DUGAN,dude_obj
0,10,master,EGGCLAW,dude_obj
0,10,master,FALCON1,dude_obj
0,10,master,FEMFARMR,dude_obj
0,10,master,FGTCARVN,dude_obj
0,10,master,FGTGARD,dude_obj
0,10,master,FGTVAN,dude_obj
0,10,master,FISHRMAN,dude_obj
0,10,master,FISHRSON,dude_obj
0,10,master,FLASH,dude_obj
0,10,master,FLIP,dude_obj
0,10,master,FOLSCHOL,dude_obj
0,10,master,FRY,dude_obj
0,10,master,FRYSTUB,dude_obj
0,10,master,GABRIEL,dude_obj
0,10,master,GARL,dude_obj
0,10,master,GARRET,dude_obj
0,10,master,GENCOP,dude_obj
0,10,master,GENERIC,dude_obj
0,10,master,GENFGT,dude_obj
0,10,master,GENMUTAN,dude_obj
0,10,master,GENRAID2,dude_obj
0,10,master,GENRAIDR,dude_obj
0,10,master,GENSARG,dude_obj
0,10,master,GENSKAG,dude_obj
0,10,master,GENSUPR,dude_obj
0,10,master,GENVAULT,dude_obj
0,10,master,GHDORGRD,dude_obj
0,10,master,GHGUARD,dude_obj
0,10,master,GHREFUGE,dude_obj
0,10,master,GIZMO,dude_obj
0,10,master,GRETCH,dude_obj
0,10,master,GRNFARM,dude_obj
0,10,master,GROUNDR,dude_obj
0,10,master,GUIDO,dude_obj
0,10,master,GUNRNR,dude_obj
0,10,master,GUNRUNR,dude_obj
0,10,master,GUNTHER,dude_obj
0,10,master,GWEN,dude_obj
0,10,master,HALLGRD,dude_obj
0,10,master,HAROLD,dude_obj
0,10,master,HARRY,dude_obj
0,10,master,HBETH,dude_obj
0,10,master,HBODGRD,dude_obj
0,10,master,HBODGRD2,dude_obj
0,10,master,HCARAVN1,dude_obj
0,10,master,HCARAVN2,dude_obj
0,10,master,HCARAVN3,dude_obj
0,10,master,HCARAVN4,dude_obj
0,10,master,HCHDGRD,dude_obj
0,10,master,HDEALER,dude_obj
0,10,master,HEATHER,dude_obj
0,10,master,HGENCVAN,dude_obj
0,10,master,HGENDEAL,dude_obj
0,10,master,HGENFARM,dude_obj
0,10,master,HGENGAMB,dude_obj
0,10,master,HGENVAN2,dude_obj
0,10,master,HHOOKER,dude_obj
0,10,master,HIGHELD,dude_obj
