id,key,name_en,name_zh,desc_en,desc_zh,formula_msg,base,stat_multiplier,stat1,stat2,points_multiplier,use_experience,experience_bonus_from_difficulty,skilldex_art
0,SMALL_GUNS,Small Guns,小型枪械,"The use, care and general knowledge of small firearms.  Pistols, SMGs and rifles.",对于小型武器：枪、小机关枪、来福枪等的武器有著相当的知识。,+ AG,35,1,AG,,1,0,False,28
1,BIG_GUNS,Big Guns,大型枪械,"The operation and maintenance of really big guns.  Miniguns, Rocket Launchers, Flamethrowers and such.",对于大型武器：大枪、火箭炮、火焰发射器等等的武器有著相当的知识。,+ AG,10,1,AG,,1,0,False,29
2,ENERGY_WEAPONS,Energy Weapons,能量型武器,The care and feeding of energy-based weapons.  How to arm and operate weapons that use laser or plasma technology.,对于能源武器，任何使用电浆或是雷射科技的武器有著相当的知识。,+ AG,10,1,AG,,1,0,False,30
3,UNARMED,Unarmed,肉搏,"A combination of martial arts, boxing and other hand-to-hand martial arts.  Combat with your hands and feet.",拳击、武功、以及其它的空手战斗技巧，用你的手以及脚的作战技巧。,+ (AG + ST)/2,65,1,AG,ST,1,0,False,31
4,MELEE_WEAPONS,Melee Weapons,近战武器,"Using non-ranged weapons in hand-to-hand, or melee, combat. Knives, sledgehammers, spears, clubs and so on.",使用没有射程的武器：刀、锤、矛、棒等等的技巧。,+ (AG + ST)/2,55,1,AG,ST,1,0,False,32
5,THROWING,Throwing,抛掷力,"The skill of muscle-propelled ranged weapons.  Throwing knives, spears and grenades.",使用以肌肉操作的长程武器，如飞刀、掷矛、以及手榴弹的技巧。,+ AG,40,1,AG,,1,0,False,33
6,FIRST_AID,First aid,急救,"General healing skill.  Used to heal small cuts, abrasions and other minor ills.  In game terms, the use of first aid can heal more hit points over time than just rest.",普通的治疗技巧。用来治疗小切伤、擦伤以及其它小伤。在游戏里面，使用急救箱可以比休息恢复更多的生命点数。,+ (PE + IN),30,1,PE,IN,1,25,False,34
7,DOCTOR,Doctor,医疗,"The healing of major wounds and crippled limbs.  Without this skill, it will take a much longer period of time to restore crippled limbs to use.",可以治疗重伤或是受伤的肢体的技巧。没有这一项技巧，人物就得要休息相当长的一段时间才能够恢复。,+ (PE + IN)/2,15,1,PE,IN,1,50,False,35
8,SNEAK,Sneak,潜行,"Quiet movement, and the ability to remain unnoticed.  If successful, you will be much harder to locate.  You cannot run and sneak at the same time.",可以快速移动，以及不被发现的技巧。如果成功的话，别人将比较不容易找到你。你可以同时轻步以及跑步。,+ AG,25,1,AG,,1,0,False,36
9,LOCKPICK,Lockpick,开锁,The skill of opening locks without the proper key.  The use of lockpicks or electronic lockpicks will greatly enhance this skill.,可以不用钥匙就将锁打开的技巧。使用开锁工具组或是电子开锁器将会增强这一项技巧。,+ (PE + AG)/2,20,1,PE,AG,1,25,True,37
10,STEAL,Steal,偷窃,The ability to make the things of others your own.  Can be used to steal from people or places.,你以将别人的东西据为己有的技巧。,+ AG,20,1,AG,,1,25,True,38
11,TRAPS,Traps,陷阱,The finding and removal of traps.  Also the setting of explosives for demolition purposes.,发现并且拆除陷阱的技巧，以及设定炸弹的技巧。,+ (PE + AG)/2,20,1,PE,AG,1,25,True,39
12,SCIENCE,Science,科技,"Covers a variety of hi-technology skills, such as computers, biology, physics and geology.",包括了许多高科技的技巧，例如电脑、生物、物理、以及地质学等方面的技巧。,+ (2 x IN),25,2,IN,,1,0,False,40
13,REPAIR,Repair,修理,"The practical application of the Science skill.  The fixing of broken equipment, machinery and electronics.",运用科学知识修理仪器、机器、以及电子物品的技巧。,+ IN,20,1,IN,,1,0,False,41
14,SPEECH,Speech,口才,The ability to communicate in a practical and efficient manner.  The skill of convincing others that your position is correct.  The ability to lie and not get caught.,以有效率以及达意的方式与人沟通的技巧，说服别人你是正确的技巧，以及说谎不被抓到的技巧。,+ (2 x CH),25,2,CH,,1,0,False,42
15,BARTER,Barter,杀价,"Trading and trade-related tasks.  The ability to get better prices for items you sell, and lower prices for items you buy.",商务以及相关的事物。可以在买、卖东西时取得较好价钱的技巧。,+ (2 x CH),20,2,CH,,1,0,False,43
16,GAMBLING,Gambling,赌博,"The knowledge and practical skills related to wagering.  The skill at cards, dice and other games.",赌博的技巧。纸牌、骰子、等等的赌具。,+ (3 x LK),20,3,LK,,1,0,False,44
17,OUTDOORSMAN,Outdoorsman,野外生存,"Practical knowledge of the outdoors, and the ability to live off the land.  The knowledge of plants and animals.",对于户外有着相当的知识，在野外求生、以及对于动物以及植物的认识。,+ (EN + IN)/2,5,1,EN,IN,1,100,False,45
