id,key,name_en,name_zh,desc_en,desc_zh,selectable,max_rank,min_level,stat_bonus,required_skill,primary_stats
0,AWARENESS,Awareness,警觉力,You are more likely to notice details about people.  Awareness will give more detailed information about them when you perform an Examine.,拥有这项能力，当你检查每一个生物时都会得到更多的资料。你可以看到他们的生命点数以及身上配有的武器。,True,1,3,,,"{""PE"": 5}"
1,BONUS_HTH_ATTACKS,Bonus HtH Attacks,快速徒手攻击,"You have learned the secret arts of the East, or you just punch faster.  In any case, your Hand-to-Hand attacks cost 1 AP less to perform.",你学到了东方的神秘技巧，或者你只是拳出的很快而已。无论如何，你的空手攻击将会少使用1点的动作点数。,True,1,6,,,"{""AG"": 6}"
2,BONUS_HTH_DAMAGE,Bonus HtH Damage,额外的空手伤害,Experience in unarmed combat has given you the edge when it comes to damage.  You cause +2 points of damage with hand-to-hand and melee attacks for each level of this Perk.,熟悉空手攻击技巧让你有更高的破坏力。你在空手或是武器攻击时每个等级都会造成+2的伤害。,True,3,3,"{""stat"": ""MELEE_DAMAGE"", ""per_rank"": 2}",,"{""ST"": 6, ""AG"": 6}"
3,BONUS_MOVE,Bonus Move,额外的出手机会,"For each level of Bonus Move, you get 2 free APs each turn that can only be used for movement.  In other words, you can move 2 free hexes each turn for each level of this Perk.",这种能力每提高一级你都会在每一轮得到2点的动作点数。也就是说，每一个等级中，你都可以多移动2格。,True,3,6,,,"{""AG"": 5}"
4,BONUS_RANGED_DAMAGE,Bonus Ranged Damage,额外的攻击距离,"Your training in firearms and other ranged weapons has made you more deadly in ranged combat.  For each level of this Perk, you do +2 points of damage with ranged weapons.",你在长程武器和枪炮方面的训练让你的长程攻击力大增。在每一个等级中若使用长程武器，你都会造成+2的伤害。,True,2,6,,,"{""AG"": 6, ""LK"": 6}"
5,BONUS_RATE_OF_FIRE,Bonus Rate of Fire,额外的开火速度,"This Perk allows you to pull the trigger a little more faster, and still remain as accurate as before.  Each ranged weapon attack costs 1 AP less to perform.",这个能力可以让你更快的开火，同时保有原来的准头。每种长程的武器在使用上都会少用1个动作点数。,True,1,9,,,"{""PE"": 6, ""IN"": 6, ""AG"": 7}"
6,EARLIER_SEQUENCE,Earlier Sequence,先发制人,"You are more likely to move before your opponents in combat, since your Sequence is +2 for each level of this Perk.",在每一个等级中，你的战斗顺序点数都会+2，因此你在一个战斗之中几乎都可以比你的敌人先移动。,True,3,3,"{""stat"": ""SEQUENCE"", ""per_rank"": 2}",,"{""PE"": 6}"
7,FASTER_HEALING,Faster Healing,快速恢复,"With each level of this Perk, you will get a +1 bonus to your Healing Rate.  Thus you heal faster.",在每一个等级中，你都会得到+1的治疗速率。这是在普通速率上面另外加上去的点数，因此，你自我疗伤的速度会更加的快。,True,3,3,"{""stat"": ""HEALING_RATE"", ""per_rank"": 1}",,"{""EN"": 6}"
8,MORE_CRITICALS,More Criticals,更多的致命一击,You are more likely to cause Critical Hits in combat if you have this Perk.  Each level of More Criticals will get you a +5% chance to cause a critical hit.  This is a good thing.,你在战斗中将可更容易的使出特别攻击。这能力的每一级都会增加5%的特别攻击使出机会。,True,3,6,"{""stat"": ""CRITICAL_CHANCE"", ""per_rank"": 5}",,"{""LK"": 6}"
9,NIGHT_VISION,Night Vision,夜视能力,"With the Night Vision Perk, you can see in the dark better.  Each level of this Perk will reduce the overall darkness level by 10%.",当你拥有这项能力后，在夜晚与地道中你可以看得更清楚。这能力的每一级会将画面的阴暗度减少10%。,True,3,3,,,"{""PE"": 6}"
10,PRESENCE,Presence,现身,You command attention by just walking into a room.  The initial reaction of another person is improved by 10% for each level of this Perk.,你只要进入房间内就会特别引人注意。别人对你的第一印象在每个等级都会增加10%。,True,3,3,,,"{""CH"": 6}"
