source,script,critter_pid,critter_prototype_id,item_pid
data,JUNKCAS,16777218,2,7
data,JUNKCAS,16777218,2,8
data,JUNKCAS,16777240,24,4
data,JUNKCAS,16777240,24,8
data,JUNKCAS,16777295,79,18
data,JUNKCAS,16777296,80,94
data,JUNKCAS,16777296,80,95
data,JUNKCAS,16777296,80,100
data,JUNKCAS,16777315,99,4
data,JUNKCAS,16777318,102,4
data,JUNKCAS,16777318,102,8
data,JUNKCAS,16777318,102,74
data,KILLIAN,16777528,312,1
data,KILLIAN,16777528,312,10
data,KILLIAN,16777528,312,40
data,KILLIAN,16777528,312,57
data,KILLIAN,16777528,312,91
data,KILLIAN,16777528,312,94
data,KILLIAN,16777528,312,95
data,KILLIAN,16777528,312,104
data,MASTER2,16777408,192,15
data,MASTER2,16777408,192,28
data,MASTER2,16777408,192,39
data,MASTER2,16777408,192,40
data,MASTER2,16777409,193,15
data,MASTER2,16777409,193,39
data,MASTER2,16777409,193,40
data,rndmtn,16777247,31,1
data,rndmtn,16777247,31,2
data,rndmtn,16777247,31,4
data,rndmtn,16777247,31,7
data,rndmtn,16777247,31,8
data,rndmtn,16777247,31,17
data,rndmtn,16777247,31,18
data,rndmtn,16777247,31,20
data,rndmtn,16777247,31,23
data,rndmtn,16777247,31,29
data,rndmtn,16777247,31,30
data,rndmtn,16777247,31,31
data,rndmtn,16777247,31,40
data,rndmtn,16777247,31,45
data,rndmtn,16777247,31,46
data,rndmtn,16777247,31,75
data,rndmtn,16777247,31,79
data,rndmtn,16777247,31,81
data,rndmtn,16777247,31,90
data,rndmtn,16777247,31,106
data,rndmtn,16777247,31,124
data,rndmtn,16777247,31,143
data,rndmtn,16777247,31,144
master,CHILDR~1,16777218,2,1
master,CHILDR~1,16777218,2,94
master,CHILDR~1,16777233,17,8
master,CHILDR~1,16777233,17,74
master,CRASHRM,16777449,233,1
master,CRASHRM,16777449,233,8
master,JUNKCAS,16777218,2,7
master,JUNKCAS,16777218,2,8
master,JUNKCAS,16777240,24,4
master,JUNKCAS,16777240,24,8
master,JUNKCAS,16777295,79,18
master,JUNKCAS,16777296,80,94
master,JUNKCAS,16777296,80,95
master,JUNKCAS,16777296,80,100
master,JUNKCAS,16777315,99,4
master,JUNKCAS,16777318,102,4
master,JUNKCAS,16777318,102,8
master,JUNKCAS,16777318,102,74
master,KILLIAN,16777528,312,1
master,KILLIAN,16777528,312,10
master,KILLIAN,16777528,312,40
master,KILLIAN,16777528,312,57
master,KILLIAN,16777528,312,91
master,KILLIAN,16777528,312,94
master,KILLIAN,16777528,312,95
master,KILLIAN,16777528,312,104
master,MASTER2,16777408,192,15
master,MASTER2,16777408,192,28
master,MASTER2,16777408,192,39
master,MASTER2,16777408,192,40
master,MASTER2,16777409,193,15
master,MASTER2,16777409,193,39
master,MASTER2,16777409,193,40
master,RNDCOAST,16777229,13,7
master,RNDCOAST,16777229,13,18
master,RNDCOAST,16777229,13,31
master,RNDCOAST,16777229,13,81
master,RNDCOAST,16777229,13,109
master,RNDCOAST,16777258,42,7
master,RNDCOAST,16777258,42,103
master,RNDMTN,16777247,31,1
master,RNDMTN,16777247,31,2
master,RNDMTN,16777247,31,4
master,RNDMTN,16777247,31,7
master,RNDMTN,16777247,31,8
master,RNDMTN,16777247,31,17
master,RNDMTN,16777247,31,18
master,RNDMTN,16777247,31,20
master,RNDMTN,16777247,31,23
master,RNDMTN,16777247,31,29
master,RNDMTN,16777247,31,30
master,RNDMTN,16777247,31,31
master,RNDMTN,16777247,31,40
master,RNDMTN,16777247,31,45
master,RNDMTN,16777247,31,46
master,RNDMTN,16777247,31,75
master,RNDMTN,16777247,31,79
master,RNDMTN,16777247,31,81
master,RNDMTN,16777247,31,90
master,RNDMTN,16777247,31,106
master,RNDMTN,16777247,31,124
master,RNDMTN,16777247,31,143
master,RNDMTN,16777247,31,144
master,V13CAVES,16777235,19,20
master,V13CAVES,16777235,19,45
master,V13CAVES,16777235,19,74
master,V13CAVES,16777295,79,18
master,V13CAVES,16777296,80,94
master,V13CAVES,16777426,210,1
master,V13CAVES,16777426,210,8
master,V13CAVES,16777426,210,74
master,V13CAVES,16777426,210,94
master,VAULT13,16777272,56,8
master,VAULT13,16777272,56,30
master,VAULT13,16777272,56,40
